gene_id,score
Os07g0692600,99.99836
Os02g0157000,99.99836
Os01g0601675,99.99836
Os09g0570850,99.99836
Os11g0444400,99.998344
Os02g0267600,99.998344
Os09g0462700,99.998344
Os02g0514800,99.998344
Os05g0421600,99.998344
Os07g0221100,99.998344
Os05g0484700,99.998344
Os07g0466500,99.998344
Os01g0891601,99.998344
Os05g0483900,99.998344
Os05g0484000,99.99834
Os01g0318900,99.99834
Os02g0268750,99.99834
Os09g0565350,99.99834
Os10g0572900,99.99834
Os04g0401800,99.99834
Os04g0667900,99.99834
Os04g0644000,99.99833
Os04g0647550,99.99833
Os02g0579000,99.99833
Os08g0451651,99.99833
Os04g0449900,99.99833
Os06g0601500,99.99833
Os07g0420900,99.99833
Os01g0821200,99.99833
Os02g0208200,99.99833
Os05g0435100,99.99833
Os03g0773700,99.99833
Os02g0183500,99.99833
Os05g0304900,99.99833
Os10g0563100,99.99832
Os02g0492500,99.99832
Os11g0574500,99.998314
Os01g0110600,99.998314
Os08g0164600,99.998314
Os04g0616800,99.998314
Os06g0626801,99.998314
Os10g0490900,99.998314
Os06g0542701,99.998314
Os11g0593100,99.998314
Os10g0520400,99.998314
Os12g0298300,99.998314
Os08g0426100,99.998314
Os10g0518601,99.998314
Os08g0357300,99.998314
Os05g0150100,99.998314
Os07g0418550,99.998314
Os11g0598000,99.998314
Os06g0192200,99.998314
Os11g0593250,99.998314
Os04g0149400,99.998314
Os06g0626950,99.998314
Os06g0361200,99.998314
Os10g0518701,99.998314
Os02g0202950,99.998314
Os04g0525400,99.998314
Os01g0968200,99.998314
Os08g0132000,99.9983
Os07g0625100,99.9983
Os01g0968100,99.9983
Os07g0242000,99.9983
Os06g0542600,99.9983
Os01g0587900,99.9983
Os05g0501600,99.9983
Os02g0633100,99.9983
Os08g0555400,99.9983
Os08g0132100,99.9983
Os02g0586200,99.9983
Os04g0476500,99.9983
Os02g0586100,99.9983
Os01g0162300,99.9983
Os07g0447000,99.9983
Os06g0566100,99.9983
Os06g0660700,99.9983
Os05g0272200,99.9983
Os04g0625900,99.9983
Os06g0309400,99.99829
Os06g0542100,99.99829
Os08g0481175,99.99829
Os07g0174700,99.99829
Os06g0187100,99.99828
Os05g0435300,99.998276
Os01g0765500,99.998276
Os05g0281400,99.998276
Os05g0434600,99.998276
Os01g0651932,99.998276
Os02g0608000,99.99827
Os02g0602600,99.99827
Os12g0242200,99.99827
Os05g0433600,99.99827
Os02g0140800,99.99827
Os02g0138700,99.99827
Os05g0434800,99.99827
Os05g0433900,99.99827
Os01g0740350,99.99827
Os05g0433500,99.99827
Os09g0117800,99.99827
Os02g0221500,99.99827
Os06g0310200,99.99827
Os05g0433400,99.99827
Os07g0576600,99.99827
Os03g0266200,99.99827
Os02g0826566,99.99827
Os02g0155900,99.99825
Os06g0645600,99.99825
Os04g0467300,99.99825
Os10g0406300,99.99825
Os09g0567800,99.99825
Os10g0264950,99.99825
Os01g0863300,99.99825
Os02g0796200,99.998245
Os06g0560300,99.998245
Os09g0397900,99.998245
Os01g0644500,99.998245
Os10g0144000,99.998245
Os10g0471000,99.998245
Os10g0466000,99.998245
Os03g0138600,99.998245
Os11g0261400,99.99824
Os06g0184400,99.99824
Os01g0835800,99.99824
Os11g0564900,99.99824
Os11g0707050,99.99824
Os12g0560200,99.99824
Os11g0151002,99.99824
Os10g0145800,99.99823
Os07g0115700,99.99823
Os06g0692100,99.99823
Os04g0429100,99.99823
Os02g0752200,99.99823
Os01g0651000,99.99823
Os06g0265900,99.99823
Os01g0234850,99.99823
Os06g0255300,99.99823
Os12g0421300,99.99823
Os03g0599400,99.99823
Os11g0213300,99.99823
Os05g0544600,99.99823
Os08g0148400,99.99823
Os01g0765300,99.99823
Os01g0378600,99.99823
Os06g0557700,99.998215
Os01g0388700,99.998215
Os08g0149850,99.998215
Os05g0414700,99.998215
Os04g0141800,99.998215
Os07g0591100,99.998215
Os08g0138301,99.998215
Os04g0221800,99.998215
Os08g0139650,99.998215
Os04g0139700,99.998215
Os04g0154700,99.998215
Os04g0156000,99.998215
Os07g0180100,99.998215
Os01g0368700,99.998215
Os08g0149800,99.99821
Os07g0269500,99.99821
Os04g0144832,99.99821
Os04g0162800,99.99821
Os04g0154000,99.99821
Os01g0798600,99.99821
Os03g0665000,99.99821
Os01g0798750,99.99821
Os04g0137700,99.99821
Os11g0261500,99.99821
Os04g0143100,99.99821
Os04g0144300,99.99821
Os04g0156050,99.99821
Os11g0650250,99.99821
Os03g0315301,99.99821
Os04g0146750,99.99821
Os10g0348600,99.99821
Os02g0245400,99.99821
Os05g0236600,99.99821
Os07g0508900,99.99821
Os04g0399600,99.99821
Os10g0541700,99.99821
Os04g0583800,99.99821
Os07g0269600,99.99821
Os04g0139000,99.99821
Os10g0144501,99.99821
Os04g0197700,99.99821
Os04g0140066,99.99821
Os04g0150300,99.99821
Os04g0152400,99.99821
Os07g0499850,99.99821
Os09g0562750,99.99821
Os02g0243700,99.99821
Os10g0144300,99.99821
Os04g0153200,99.99821
Os07g0105800,99.99821
Os04g0143200,99.99821
Os04g0138066,99.99821
Os05g0381900,99.99821
Os07g0269400,99.99821
Os04g0139400,99.99821
Os12g0593300,99.99821
Os04g0153650,99.99821
Os07g0270800,99.99821
Os04g0139150,99.99821
Os04g0145400,99.99821
Os07g0645300,99.99821
Os05g0324300,99.99821
Os01g0368500,99.99821
Os07g0109100,99.99821
Os02g0246500,99.99821
Os04g0151300,99.99821
Os04g0154800,99.99821
Os04g0146975,99.99821
Os09g0559500,99.99821
Os01g0953100,99.99821
Os01g0891500,99.99821
Os10g0143200,99.99821
Os04g0142600,99.99821
Os08g0390100,99.99821
Os06g0574000,99.99821
Os07g0271700,99.99821
Os08g0149333,99.99821
Os04g0152000,99.99821
Os04g0152500,99.99821
Os04g0139100,99.99821
Os04g0137600,99.99821
Os04g0163800,99.99821
Os04g0149100,99.99821
Os07g0268800,99.99821
Os12g0408000,99.99821
Os04g0153000,99.99821
Os07g0180300,99.99821
Os08g0216000,99.99821
Os04g0153300,99.99821
Os04g0213700,99.99821
Os08g0194900,99.99821
Os11g0652600,99.99821
Os03g0141800,99.99821
Os04g0149300,99.99821
Os04g0164000,99.99821
Os10g0550400,99.9982
Os11g0704700,99.9982
Os11g0565920,99.9982
Os01g0153800,99.9982
Os11g0544200,99.9982
Os04g0140800,99.9982
Os01g0264000,99.9982
Os01g0750400,99.9982
Os06g0692300,99.9982
Os01g0277500,99.9982
Os04g0464600,99.9982
Os02g0221600,99.9982
Os09g0286300,99.99819
Os07g0568100,99.99819
Os04g0472500,99.99819
Os04g0388700,99.99819
Os05g0376000,99.99819
Os03g0260100,99.99819
Os02g0685200,99.99819
Os02g0225900,99.998184
Os03g0116316,99.998184
Os08g0162033,99.998184
Os08g0511900,99.998184
Os02g0244600,99.998184
Os05g0585300,99.998184
Os05g0243100,99.998184
Os04g0554600,99.998184
Os02g0721500,99.998184
Os04g0191000,99.998184
Os01g0811500,99.998184
Os01g0542400,99.998184
Os04g0544100,99.998184
Os01g0652000,99.998184
Os04g0153800,99.99817
Os10g0184200,99.99817
Os05g0585200,99.99817
Os11g0618800,99.99817
Os01g0947700,99.99817
Os09g0542500,99.99817
Os05g0316300,99.99817
Os07g0222200,99.99817
Os11g0171050,99.99817
Os06g0116966,99.99817
Os04g0329300,99.99817
Os07g0132700,99.99817
Os05g0573900,99.99817
Os03g0688200,99.99817
Os11g0171100,99.99817
Os06g0662600,99.99817
Os10g0506700,99.99817
Os08g0274775,99.99817
Os02g0549900,99.99817
Os06g0328650,99.99817
Os05g0286600,99.99817
Os02g0299800,99.99817
Os01g0213300,99.99817
Os07g0115720,99.99817
Os08g0364400,99.99817
Os01g0333600,99.99817
Os06g0117500,99.99817
Os04g0410400,99.99817
Os06g0302900,99.99817
Os06g0119100,99.99817
Os08g0490400,99.99817
Os10g0481666,99.99817
Os06g0119300,99.99817
Os01g0891700,99.99817
Os11g0618850,99.99817
Os01g0333700,99.99817
Os06g0631466,99.99817
Os11g0618700,99.99817
Os08g0365200,99.99817
Os05g0508500,99.99817
Os10g0481832,99.99817
Os06g0662225,99.99817
Os01g0608700,99.99817
Os09g0564966,99.99817
Os12g0184400,99.99817
Os12g0168600,99.99817
Os11g0618000,99.99817
Os03g0333000,99.99817
Os04g0329200,99.99817
Os07g0456066,99.99817
Os03g0358500,99.99817
Os11g0619601,99.99817
Os04g0412000,99.99817
Os10g0482200,99.99817
Os01g0143501,99.99817
